strategy,venue,sharpe,ci_lo,ci_hi,cagr,max_dd,dsr,pbo,accuracy,beta,alpha_ann,alpha_t,recent_24m_sharpe,trials,verdict
sma_cross,cex_maker,0.8272740400333389,0.19746194272315232,1.5152267874517866,0.3493743362143187,-0.8746760258913404,0.7653009026292135,0.4857142857142857,0.5328496573962112,0.6503603873395998,0.010600417823660469,0.09485116091020206,0.2714420189177531,500,REJECT: DSR > 0.95; drawdown > -50%; edge alive in last 24m; alpha t > 2.5 vs buy-and-hold; beats no-signal ablation
ts_momentum,base_amm_realistic,0.7952326171147851,0.1372412045636995,1.561490984645692,0.31234787273648434,-0.7547162663213824,0.9758509808717786,0.5571428571428572,0.5330415754923413,0.6200639674576041,-0.020248695022776233,-0.18876459236863685,0.4624201285458398,500,REJECT: PBO < 0.5; drawdown > -50%; alpha t > 2.5 vs buy-and-hold; beats no-signal ablation
sma_cross,cex_taker,0.7781041108098914,0.1442814910019092,1.4695634889439018,0.313529900385326,-0.8998379420766943,0.7042707285073476,0.5,0.5312375646637485,0.6558624885179343,-0.019559332552516667,-0.17597228813103036,0.24104995845268254,500,REJECT: DSR > 0.95; PBO < 0.5; drawdown > -50%; edge alive in last 24m; alpha t > 2.5 vs buy-and-hold; beats no-signal ablation
ts_momentum,cex_maker,0.6412547101925483,-0.07449366561380338,1.4588105146196746,0.21470590900164277,-0.935274567820698,0.4287333955763637,0.5571428571428572,0.5243853284965739,0.5651544660361904,-0.04735700357236047,-0.37380733043953196,0.5695188108470337,500,REJECT: Sharpe CI excludes 0; DSR > 0.95; PBO < 0.5; drawdown > -50%; alpha t > 2.5 vs buy-and-hold; beats no-signal ablation
ts_momentum,cex_taker,0.6149675523143904,-0.11619069606886703,1.4262097026052256,0.19728638523825182,-0.9319657275958755,0.341190350184999,0.6,0.5246449456975772,0.5840181029766236,-0.07971035220993239,-0.663991213082833,0.5255202144228491,500,REJECT: Sharpe CI excludes 0; DSR > 0.95; PBO < 0.5; drawdown > -50%; alpha t > 2.5 vs buy-and-hold; beats no-signal ablation
donchian,cex_taker,0.5435782446586112,-0.2411905856252581,1.2674413293786486,0.15547406372809602,-0.8967790578994335,0.7846312917620204,0.6714285714285714,0.5293146160198183,0.23093362541990056,0.1479819003257048,0.8666779397127565,-0.11898850731182328,500,REJECT: Sharpe CI excludes 0; DSR > 0.95; PBO < 0.5; drawdown > -50%; edge alive in last 24m; alpha t > 2.5 vs buy-and-hold; beats no-signal ablation
donchian,cex_maker,0.5346529375413055,-0.23725903323453143,1.2747275030292855,0.14982931407125966,-0.8926727669626816,0.7561659833091043,0.6,0.5283806343906511,0.23707783486305084,0.13651036973918007,0.8042838071205239,-0.07273548497590451,500,REJECT: Sharpe CI excludes 0; DSR > 0.95; PBO < 0.5; drawdown > -50%; edge alive in last 24m; alpha t > 2.5 vs buy-and-hold; beats no-signal ablation
mean_reversion,base_amm_realistic,0.004543119116073543,-0.4408274857786943,0.5536830416296176,-0.03745853644004782,-0.5707422657884953,0.005865127932385639,0.2571428571428571,0.589171974522293,0.16850029352373408,-0.11774678803516081,-1.4558362557269668,-0.560725693201978,500,REJECT: Sharpe CI excludes 0; DSR > 0.95; drawdown > -50%; edge alive in last 24m; alpha t > 2.5 vs buy-and-hold; beats no-signal ablation
mean_reversion,cex_maker,-0.07318300670473417,-0.5118723183417587,0.3751979508968003,-0.08014288841013428,-0.7005862697823089,0.0002752228313939731,0.2,0.5599369085173501,0.05723085660439024,-0.06509916625689337,-0.6600036106816543,-0.7190506830260424,500,REJECT: positive OOS Sharpe; Sharpe CI excludes 0; DSR > 0.95; drawdown > -50%; edge alive in last 24m; alpha t > 2.5 vs buy-and-hold; beats no-signal ablation
mean_reversion,cex_taker,-0.3418932957271291,-0.7882825711255574,0.11403094647208852,-0.1542457101363497,-0.8804746075543218,3.3647804681402604e-07,0.12857142857142856,0.547107438016529,0.0578964137660017,-0.15374378351586074,-1.594532012861036,-0.6940671242156156,500,REJECT: positive OOS Sharpe; Sharpe CI excludes 0; DSR > 0.95; drawdown > -50%; edge alive in last 24m; alpha t > 2.5 vs buy-and-hold; beats no-signal ablation
random,cex_maker,-0.6918863633899814,-1.3428986657255504,-0.06574306741626552,-0.4908843469264407,-0.9996590925935669,7.973915387426977e-07,0.5714285714285714,0.48825460974993684,0.0664241447765719,-0.5086512472514536,-2.439922215918807,-2.201400590740941,500,REJECT: positive OOS Sharpe; Sharpe CI excludes 0; DSR > 0.95; PBO < 0.5; drawdown > -50%; edge alive in last 24m; alpha t > 2.5 vs buy-and-hold; beats no-signal ablation
random,base_amm_realistic,-0.8917396314126448,-1.5362055367862826,-0.24295133535485217,-0.42118538314301623,-0.998654568088372,1.0217819594871003e-06,0.6142857142857143,0.5123053741838273,0.5349729509013972,-0.8137870691792811,-7.85176177927996,-2.8351283962462452,500,REJECT: positive OOS Sharpe; Sharpe CI excludes 0; DSR > 0.95; PBO < 0.5; drawdown > -50%; edge alive in last 24m; alpha t > 2.5 vs buy-and-hold; beats no-signal ablation
random,cex_taker,-1.3403372253542187,-1.9918773211839589,-0.7429314529034082,-0.6677358907153483,-0.9999963498301199,2.3781532298983166e-12,0.5714285714285714,0.48977014397575147,0.07742606552883688,-0.9505320686955959,-4.573200234592528,-3.245476811189758,500,REJECT: positive OOS Sharpe; Sharpe CI excludes 0; DSR > 0.95; PBO < 0.5; drawdown > -50%; edge alive in last 24m; alpha t > 2.5 vs buy-and-hold; beats no-signal ablation
